,ko,target,log2FoldChange
23500,noB_Plate15,ENSMUSG00000024300,0.921296864553718
23501,noB_Plate15,ENSMUSG00000024334,-0.5020655504973071
23502,noB_Plate15,ENSMUSG00000024338,0.318623006011443
23505,noB_Plate15,ENSMUSG00000024378,-0.35040089166836896
23506,noB_Plate15,ENSMUSG00000024381,0.31310951670736403
23507,noB_Plate15,ENSMUSG00000024401,1.40039621111688
23508,noB_Plate15,ENSMUSG00000024423,-0.694805068087091
23509,noB_Plate15,ENSMUSG00000024425,-0.311112634491126
23510,noB_Plate15,ENSMUSG00000024426,-0.871285337866852
23512,noB_Plate15,ENSMUSG00000024431,-0.512288154310803
23513,noB_Plate15,ENSMUSG00000024462,-1.3823273123308102
23514,noB_Plate15,ENSMUSG00000024480,0.464198524157568
23515,noB_Plate15,ENSMUSG00000024515,-0.333470328610221
23516,noB_Plate15,ENSMUSG00000024544,1.3549873831218702
23517,noB_Plate15,ENSMUSG00000024570,0.335163881425109
23518,noB_Plate15,ENSMUSG00000024579,0.568352550449997
23519,noB_Plate15,ENSMUSG00000024621,3.4877514838674597
23520,noB_Plate15,ENSMUSG00000024640,-0.599880426253414
23521,noB_Plate15,ENSMUSG00000024659,-0.716854641324491
23522,noB_Plate15,ENSMUSG00000024661,0.36023210722976295
23523,noB_Plate15,ENSMUSG00000024665,-0.8075294396092321
23525,noB_Plate15,ENSMUSG00000024681,1.35899883205237
23526,noB_Plate15,ENSMUSG00000024683,0.201597851641404
23527,noB_Plate15,ENSMUSG00000024691,0.28392833940281603
23530,noB_Plate15,ENSMUSG00000024781,0.33382532565716305
23532,noB_Plate15,ENSMUSG00000024799,-0.8000728467146079
23533,noB_Plate15,ENSMUSG00000024805,0.360002117791224
23534,noB_Plate15,ENSMUSG00000024807,-0.316326028295732
23536,noB_Plate15,ENSMUSG00000024868,-3.29957488234235
23537,noB_Plate15,ENSMUSG00000024899,0.8859302180566558
23538,noB_Plate15,ENSMUSG00000024900,-0.287214138429992
23539,noB_Plate15,ENSMUSG00000024941,-0.27470734705555605
23543,noB_Plate15,ENSMUSG00000024965,-0.25818987340349303
23545,noB_Plate15,ENSMUSG00000024985,0.514068338166314
23548,noB_Plate15,ENSMUSG00000025010,-0.6608475188050861
23549,noB_Plate15,ENSMUSG00000025014,-1.06899777033889
23551,noB_Plate15,ENSMUSG00000025076,-0.43283472717311605
23552,noB_Plate15,ENSMUSG00000025085,-0.315207938329153
23553,noB_Plate15,ENSMUSG00000025086,0.391929899845735
23554,noB_Plate15,ENSMUSG00000025089,-2.1600481329346
23555,noB_Plate15,ENSMUSG00000025130,-0.33289216726422904
23556,noB_Plate15,ENSMUSG00000025137,-0.515554398607706
23557,noB_Plate15,ENSMUSG00000025153,-0.22615129776873802
23558,noB_Plate15,ENSMUSG00000025161,-1.48891765070986
23560,noB_Plate15,ENSMUSG00000025198,0.28408768298159004
23561,noB_Plate15,ENSMUSG00000025203,-0.7240107321211229
23562,noB_Plate15,ENSMUSG00000025227,-0.469934249009849
23565,noB_Plate15,ENSMUSG00000025260,-0.41673005540113894
23566,noB_Plate15,ENSMUSG00000025278,-0.646955100538109
23567,noB_Plate15,ENSMUSG00000025289,-0.384814313560318
23568,noB_Plate15,ENSMUSG00000025324,-0.815885067789128
23569,noB_Plate15,ENSMUSG00000025351,-0.4206760958817489
23570,noB_Plate15,ENSMUSG00000025358,-0.291859983901046
23571,noB_Plate15,ENSMUSG00000025359,-1.85875509817949
23572,noB_Plate15,ENSMUSG00000025381,-0.34754606928495696
23574,noB_Plate15,ENSMUSG00000025402,-1.20671347909349
23575,noB_Plate15,ENSMUSG00000025408,-0.658640899437701
23576,noB_Plate15,ENSMUSG00000025420,-1.06752595581662
23577,noB_Plate15,ENSMUSG00000025473,2.63873698095754
23578,noB_Plate15,ENSMUSG00000025491,0.9109986834318391
23579,noB_Plate15,ENSMUSG00000025492,0.349165231043625
23580,noB_Plate15,ENSMUSG00000025509,-0.213701211221404
23582,noB_Plate15,ENSMUSG00000025534,-0.29366790760184197
23583,noB_Plate15,ENSMUSG00000025558,1.13946279343545
23584,noB_Plate15,ENSMUSG00000025577,-0.488857431950069
23585,noB_Plate15,ENSMUSG00000025579,-0.38250460728779395
23586,noB_Plate15,ENSMUSG00000025591,0.414920764834226
23588,noB_Plate15,ENSMUSG00000025626,-0.256114096674185
23589,noB_Plate15,ENSMUSG00000025648,-0.8287209108696642
23592,noB_Plate15,ENSMUSG00000025742,0.222646615086971
23593,noB_Plate15,ENSMUSG00000025779,-0.8297426921287709
23594,noB_Plate15,ENSMUSG00000025786,0.26521217156779897
23595,noB_Plate15,ENSMUSG00000025791,-0.3780829301905251
23596,noB_Plate15,ENSMUSG00000025810,0.589642775470964
23598,noB_Plate15,ENSMUSG00000025823,-0.274225089496176
23600,noB_Plate15,ENSMUSG00000025880,0.632125330381268
23601,noB_Plate15,ENSMUSG00000025932,-0.930775600783996
23602,noB_Plate15,ENSMUSG00000025939,-0.349450156198682
23604,noB_Plate15,ENSMUSG00000025969,1.16629340193512
23606,noB_Plate15,ENSMUSG00000026012,3.3117681492118
23607,noB_Plate15,ENSMUSG00000026014,0.7719585850015309
23609,noB_Plate15,ENSMUSG00000026024,-0.688793565385274
23614,noB_Plate15,ENSMUSG00000026121,-3.03893804698065
23615,noB_Plate15,ENSMUSG00000026123,-0.39779748389008396
23616,noB_Plate15,ENSMUSG00000026131,-1.02834973143151
23618,noB_Plate15,ENSMUSG00000026141,-0.337230280372459
23619,noB_Plate15,ENSMUSG00000026177,0.62217309098299
23621,noB_Plate15,ENSMUSG00000026181,0.39063275364760397
23622,noB_Plate15,ENSMUSG00000026187,-0.667561981971299
23626,noB_Plate15,ENSMUSG00000026209,-0.272240473053452
23627,noB_Plate15,ENSMUSG00000026222,0.35710053781867207
23629,noB_Plate15,ENSMUSG00000026235,-1.75698954519878
23630,noB_Plate15,ENSMUSG00000026255,-0.9005850985632942
23635,noB_Plate15,ENSMUSG00000026357,-1.09945365880045
23636,noB_Plate15,ENSMUSG00000026383,-0.9385045291236371
23637,noB_Plate15,ENSMUSG00000026385,-0.391381165591859
23638,noB_Plate15,ENSMUSG00000026421,-0.26231933904120397
23641,noB_Plate15,ENSMUSG00000026435,-1.9513452343937099
23642,noB_Plate15,ENSMUSG00000026458,-1.3727649913206201
23643,noB_Plate15,ENSMUSG00000026463,0.38223574938408295
23644,noB_Plate15,ENSMUSG00000026471,-1.25277934134297
23646,noB_Plate15,ENSMUSG00000026490,-0.5898256838655339
23647,noB_Plate15,ENSMUSG00000026496,0.31055079111394396
23648,noB_Plate15,ENSMUSG00000026510,-0.346795933261894
23649,noB_Plate15,ENSMUSG00000026516,0.326542027235467
23651,noB_Plate15,ENSMUSG00000026532,-2.12055975867194
23652,noB_Plate15,ENSMUSG00000026556,-0.675650017347236
23653,noB_Plate15,ENSMUSG00000026558,0.23276482410228
