,target,log2FoldChange
430,ENSMUSG00000028295,0.5640420464053271
431,ENSMUSG00000028322,0.20369366982588802
432,ENSMUSG00000028385,0.322349458004404
433,ENSMUSG00000028405,-0.282563789342601
434,ENSMUSG00000028419,0.279420604099932
437,ENSMUSG00000028445,1.4409458346941102
438,ENSMUSG00000028459,0.448127228168716
439,ENSMUSG00000028479,-0.262985691721676
440,ENSMUSG00000028488,2.2864209275997003
442,ENSMUSG00000028563,0.336438305790456
444,ENSMUSG00000028664,1.2152027509324899
447,ENSMUSG00000028758,0.4599860506438921
448,ENSMUSG00000028763,1.1484926710988201
450,ENSMUSG00000028833,-0.322796382816737
451,ENSMUSG00000028864,-0.26472418894611804
452,ENSMUSG00000028893,-0.724228348162169
453,ENSMUSG00000028940,1.64915148617895
456,ENSMUSG00000028976,1.39731731132788
457,ENSMUSG00000029093,1.36681568369174
458,ENSMUSG00000029096,1.72147758372542
461,ENSMUSG00000029128,0.301234462237367
462,ENSMUSG00000029135,-0.41414317683951296
463,ENSMUSG00000029178,1.3397419524321899
464,ENSMUSG00000029217,-0.268607940314759
467,ENSMUSG00000029254,0.22265175872255102
469,ENSMUSG00000029385,0.407516534763868
470,ENSMUSG00000029392,0.7699039494096359
471,ENSMUSG00000029455,-0.2859673244027
474,ENSMUSG00000029482,-0.24292737332541298
475,ENSMUSG00000029484,-0.53110439510287
476,ENSMUSG00000029602,1.0850038961453299
478,ENSMUSG00000029673,-0.822363184343538
479,ENSMUSG00000029716,-0.8990626307470841
482,ENSMUSG00000029860,-0.27526240004971003
484,ENSMUSG00000030036,-0.24245603091954102
485,ENSMUSG00000030047,0.37813853320121793
487,ENSMUSG00000030082,-0.24964506004006198
488,ENSMUSG00000030102,0.205468049979202
490,ENSMUSG00000030126,0.641999230841737
491,ENSMUSG00000030142,-0.441403624043253
495,ENSMUSG00000030254,-0.212989926319794
496,ENSMUSG00000030256,-0.500603377186159
498,ENSMUSG00000030313,0.443909123394253
499,ENSMUSG00000030315,0.301027821049969
500,ENSMUSG00000030342,0.6218904370467211
501,ENSMUSG00000030413,-0.380323969181616
502,ENSMUSG00000030530,-0.317531702239401
504,ENSMUSG00000030660,0.322178642599666
505,ENSMUSG00000030671,0.355147340542389
506,ENSMUSG00000030745,0.3726356943568479
