,ko,target,log2FoldChange
20735,Ikzf1_Plate15,ENSMUSG00000020572,0.237253523797693
20736,Ikzf1_Plate15,ENSMUSG00000020577,-0.37269852016076094
20737,Ikzf1_Plate15,ENSMUSG00000020589,-0.27829778146801504
20738,Ikzf1_Plate15,ENSMUSG00000020592,-0.249229140905876
20739,Ikzf1_Plate15,ENSMUSG00000020598,1.71220892621496
20741,Ikzf1_Plate15,ENSMUSG00000020635,1.39994896478784
20743,Ikzf1_Plate15,ENSMUSG00000020644,1.95513456045946
20746,Ikzf1_Plate15,ENSMUSG00000020689,0.48667602592871395
20748,Ikzf1_Plate15,ENSMUSG00000020716,0.40571951790060995
20749,Ikzf1_Plate15,ENSMUSG00000020717,-0.506307409052429
20750,Ikzf1_Plate15,ENSMUSG00000020719,-0.212702555936811
20752,Ikzf1_Plate15,ENSMUSG00000020723,1.5150306618532698
20753,Ikzf1_Plate15,ENSMUSG00000020732,-0.7891480928347661
20757,Ikzf1_Plate15,ENSMUSG00000020787,-0.40125845568334495
20760,Ikzf1_Plate15,ENSMUSG00000020798,-0.40835835970615
20761,Ikzf1_Plate15,ENSMUSG00000020827,0.525699735384921
20762,Ikzf1_Plate15,ENSMUSG00000020828,1.66045759339151
20763,Ikzf1_Plate15,ENSMUSG00000020841,0.200772836371493
20765,Ikzf1_Plate15,ENSMUSG00000020865,2.28516988412228
20768,Ikzf1_Plate15,ENSMUSG00000020893,0.541835031867417
20769,Ikzf1_Plate15,ENSMUSG00000020894,-0.49245143251238505
20776,Ikzf1_Plate15,ENSMUSG00000021069,0.466901031587072
20777,Ikzf1_Plate15,ENSMUSG00000021094,0.32073514005133
20778,Ikzf1_Plate15,ENSMUSG00000021108,0.7280317161517991
20781,Ikzf1_Plate15,ENSMUSG00000021143,0.36260664086135996
20782,Ikzf1_Plate15,ENSMUSG00000021171,0.40384683238104707
20788,Ikzf1_Plate15,ENSMUSG00000021236,0.261151402618175
20792,Ikzf1_Plate15,ENSMUSG00000021275,0.319120366607036
20794,Ikzf1_Plate15,ENSMUSG00000021281,1.41773962055368
20795,Ikzf1_Plate15,ENSMUSG00000021282,-0.210230933842328
20796,Ikzf1_Plate15,ENSMUSG00000021298,-0.530910049386737
20797,Ikzf1_Plate15,ENSMUSG00000021322,0.554522361723686
20798,Ikzf1_Plate15,ENSMUSG00000021338,0.485733329010785
20800,Ikzf1_Plate15,ENSMUSG00000021366,0.361962496260949
