,SLX.13007.i701_i502,SLX.13007.i701_i503
ENSMUSG00000073437,2,9
ENSMUSG00000073468,20,17
ENSMUSG00000073471,9,2
ENSMUSG00000073478,4,0
ENSMUSG00000073481,233,179
ENSMUSG00000073485,20,2
ENSMUSG00000073489,6,1
ENSMUSG00000073542,70,77
ENSMUSG00000073557,24,21
ENSMUSG00000073563,98,77
ENSMUSG00000073591,21,9
ENSMUSG00000073600,0,6
ENSMUSG00000073609,19,23
ENSMUSG00000073616,91,65
ENSMUSG00000073627,3,4
ENSMUSG00000073633,13,3
ENSMUSG00000073639,181,140
ENSMUSG00000073643,165,122
ENSMUSG00000073647,2,2
ENSMUSG00000073664,78,76
ENSMUSG00000073676,159,120
ENSMUSG00000073684,79,38
ENSMUSG00000073700,78,45
ENSMUSG00000073702,29,13
ENSMUSG00000073705,34,32
ENSMUSG00000073725,52,50
ENSMUSG00000073733,8,7
ENSMUSG00000073771,20,11
ENSMUSG00000073775,72,70
ENSMUSG00000073779,4,8
ENSMUSG00000073791,6,7
ENSMUSG00000073792,36,31
ENSMUSG00000073838,37,13
ENSMUSG00000073843,0,3
ENSMUSG00000073856,3,1
ENSMUSG00000073862,0,8
ENSMUSG00000073867,12,6
ENSMUSG00000073889,30,7
ENSMUSG00000073902,14,10
ENSMUSG00000073940,0,0
ENSMUSG00000073968,25,9
ENSMUSG00000073982,242,202
ENSMUSG00000073987,24,24
ENSMUSG00000073988,4,14
ENSMUSG00000074006,7,0
ENSMUSG00000074024,89,51
ENSMUSG00000074030,73,83
ENSMUSG00000074039,27,11
ENSMUSG00000074063,4,0
ENSMUSG00000074064,36,42
ENSMUSG00000074088,206,222
ENSMUSG00000074093,75,45
ENSMUSG00000074102,128,116
ENSMUSG00000074129,181,115
ENSMUSG00000074136,4,6
ENSMUSG00000074151,235,189
ENSMUSG00000074165,43,21
ENSMUSG00000074166,6,24
ENSMUSG00000074170,8,0
ENSMUSG00000074182,47,39
ENSMUSG00000074203,17,4
ENSMUSG00000074211,8,12
ENSMUSG00000074212,51,53
ENSMUSG00000074218,7,3
ENSMUSG00000074220,12,19
ENSMUSG00000074221,98,61
ENSMUSG00000074227,69,78
ENSMUSG00000074238,95,93
ENSMUSG00000074247,164,115
ENSMUSG00000074269,3,4
ENSMUSG00000074272,27,23
ENSMUSG00000074277,4,1
ENSMUSG00000074282,28,18
ENSMUSG00000074284,2,4
ENSMUSG00000074305,135,116
ENSMUSG00000074340,1,3
ENSMUSG00000074342,16,13
ENSMUSG00000074357,3,2
ENSMUSG00000074358,32,26
ENSMUSG00000074364,7,9
ENSMUSG00000074384,0,1
ENSMUSG00000074405,32,21
ENSMUSG00000074406,24,10
ENSMUSG00000074412,2,1
ENSMUSG00000074466,0,1
ENSMUSG00000074476,178,142
ENSMUSG00000074480,47,31
ENSMUSG00000074497,58,72
ENSMUSG00000074513,9,13
ENSMUSG00000074519,5,16
ENSMUSG00000074569,8,7
ENSMUSG00000074570,9,7
ENSMUSG00000074576,14,22
ENSMUSG00000074578,129,87
ENSMUSG00000074579,9,15
ENSMUSG00000074580,2,7
ENSMUSG00000074582,82,103
ENSMUSG00000074603,0,0
ENSMUSG00000074604,7,3
ENSMUSG00000074629,2,0
ENSMUSG00000074634,11,10
ENSMUSG00000074646,2,1
ENSMUSG00000074649,6,6
ENSMUSG00000074652,2,5
ENSMUSG00000074656,127,120
ENSMUSG00000074657,14,14
ENSMUSG00000074671,56,32
ENSMUSG00000074673,37,34
ENSMUSG00000074676,13,10
ENSMUSG00000074698,54,48
ENSMUSG00000074733,89,76
ENSMUSG00000074738,2,2
ENSMUSG00000074743,12,8
ENSMUSG00000074746,199,159
ENSMUSG00000074748,158,156
ENSMUSG00000074749,43,28
ENSMUSG00000074754,25,27
ENSMUSG00000074781,29,25
ENSMUSG00000074782,5,3
ENSMUSG00000074785,72,65
ENSMUSG00000074794,15,12
ENSMUSG00000074797,110,81
ENSMUSG00000074800,33,21
ENSMUSG00000074802,89,126
ENSMUSG00000074807,8,10
ENSMUSG00000074811,25,17
ENSMUSG00000074813,17,6
ENSMUSG00000074825,57,23
ENSMUSG00000074829,32,28
ENSMUSG00000074863,45,53
ENSMUSG00000074865,17,14
ENSMUSG00000074867,17,16
ENSMUSG00000074873,6,8
ENSMUSG00000074874,3,5
ENSMUSG00000074876,3,12
ENSMUSG00000074884,47,41
ENSMUSG00000074886,211,166
ENSMUSG00000074890,39,51
ENSMUSG00000074892,3,6
ENSMUSG00000074909,31,43
ENSMUSG00000074916,16,24
ENSMUSG00000074918,61,33
ENSMUSG00000074922,33,21
ENSMUSG00000074925,44,39
ENSMUSG00000074994,154,152
ENSMUSG00000075000,10,7
ENSMUSG00000075010,6,6
ENSMUSG00000075014,9,20
ENSMUSG00000075015,2,3
ENSMUSG00000075027,6,6
ENSMUSG00000075028,37,40
ENSMUSG00000075031,0,4
ENSMUSG00000075033,58,49
ENSMUSG00000075040,17,22
ENSMUSG00000075054,21,23
ENSMUSG00000075122,1,4
ENSMUSG00000075227,60,39
ENSMUSG00000075229,102,54
ENSMUSG00000075232,72,61
ENSMUSG00000075254,247,253
ENSMUSG00000075256,7,7
ENSMUSG00000075266,70,61
ENSMUSG00000075269,72,50
ENSMUSG00000075273,5,11
ENSMUSG00000075284,83,80
ENSMUSG00000075289,21,29
ENSMUSG00000075297,9,8
ENSMUSG00000075327,12,19
ENSMUSG00000075330,1,3
ENSMUSG00000075370,26,21
ENSMUSG00000075376,225,173
ENSMUSG00000075389,7,1
ENSMUSG00000075408,20,38
ENSMUSG00000075415,362,282
ENSMUSG00000075419,37,59
ENSMUSG00000075420,2,1
ENSMUSG00000075463,1,2
ENSMUSG00000075467,43,22
ENSMUSG00000075470,95,56
ENSMUSG00000075486,43,52
ENSMUSG00000075502,0,4
ENSMUSG00000075511,7,7
ENSMUSG00000075528,2,1
ENSMUSG00000075555,5,3
ENSMUSG00000075592,14,6
ENSMUSG00000075595,143,111
ENSMUSG00000075596,4,9
ENSMUSG00000075600,1,1
ENSMUSG00000075602,0,0
ENSMUSG00000075700,104,87
ENSMUSG00000075701,197,158
ENSMUSG00000075702,44,29
ENSMUSG00000075703,97,85
ENSMUSG00000075704,91,91
ENSMUSG00000075705,19,21
ENSMUSG00000075706,99,102
ENSMUSG00000076258,93,123
ENSMUSG00000076431,366,339
ENSMUSG00000076432,117,80
ENSMUSG00000076435,15,9
ENSMUSG00000076437,179,126
ENSMUSG00000076441,52,51
ENSMUSG00000076448,8,2
ENSMUSG00000076532,4,9
ENSMUSG00000076533,26,23
ENSMUSG00000076534,25,10
ENSMUSG00000076617,73,60
ENSMUSG00000076677,9,9
ENSMUSG00000076680,3,1
ENSMUSG00000077167,5,1
ENSMUSG00000077450,55,56
ENSMUSG00000077457,0,1
ENSMUSG00000077569,1,0
ENSMUSG00000077621,8,3
ENSMUSG00000077691,2,2
ENSMUSG00000077714,8,1
ENSMUSG00000078122,50,23
ENSMUSG00000078126,8,5
ENSMUSG00000078137,29,31
ENSMUSG00000078144,3,2
ENSMUSG00000078153,1,3
ENSMUSG00000078160,9,18
ENSMUSG00000078185,35,35
ENSMUSG00000078193,19,5
ENSMUSG00000078201,15,17
ENSMUSG00000078202,5,7
ENSMUSG00000078240,5,1
ENSMUSG00000078249,2,2
ENSMUSG00000078291,1,0
ENSMUSG00000078317,16,9
ENSMUSG00000078348,259,176
ENSMUSG00000078427,69,68
ENSMUSG00000078429,113,91
ENSMUSG00000078439,11,10
ENSMUSG00000078440,59,32
ENSMUSG00000078452,9,7
ENSMUSG00000078453,103,102
ENSMUSG00000078485,35,46
ENSMUSG00000078495,71,40
ENSMUSG00000078496,1,6
ENSMUSG00000078502,10,11
ENSMUSG00000078515,76,84
ENSMUSG00000078517,84,125
ENSMUSG00000078521,38,17
ENSMUSG00000078528,2,7
ENSMUSG00000078546,0,1
ENSMUSG00000078566,20,18
ENSMUSG00000078570,9,2
ENSMUSG00000078572,49,46
ENSMUSG00000078578,334,289
ENSMUSG00000078580,10,9
ENSMUSG00000078584,27,20
ENSMUSG00000078619,260,234
ENSMUSG00000078622,178,137
ENSMUSG00000078651,14,8
ENSMUSG00000078652,311,233
ENSMUSG00000078670,12,1
ENSMUSG00000078671,133,80
ENSMUSG00000078676,120,108
ENSMUSG00000078681,49,44
ENSMUSG00000078684,17,19
ENSMUSG00000078695,23,12
ENSMUSG00000078700,53,28
ENSMUSG00000078713,98,73
ENSMUSG00000078716,13,2
ENSMUSG00000078762,14,13
ENSMUSG00000078768,22,20
ENSMUSG00000078771,29,19
ENSMUSG00000078773,47,42
ENSMUSG00000078779,4,2
ENSMUSG00000078784,54,37
ENSMUSG00000078786,11,24
ENSMUSG00000078789,50,32
ENSMUSG00000078812,2685,2051
ENSMUSG00000078813,15,12
ENSMUSG00000078851,1,0
ENSMUSG00000078853,13,13
ENSMUSG00000078861,7,15
ENSMUSG00000078862,0,4
ENSMUSG00000078877,11,3
ENSMUSG00000078908,27,78
ENSMUSG00000078919,36,44
ENSMUSG00000078920,185,193
ENSMUSG00000078921,7,18
ENSMUSG00000078923,3,5
ENSMUSG00000078941,70,69
ENSMUSG00000078942,6,1
ENSMUSG00000078945,12,7
ENSMUSG00000078970,69,53
ENSMUSG00000078974,17,5
ENSMUSG00000078994,14,9
ENSMUSG00000078995,3,2
ENSMUSG00000079003,37,13
ENSMUSG00000079017,0,2
ENSMUSG00000079020,41,51
ENSMUSG00000079036,134,135
ENSMUSG00000079038,20,3
ENSMUSG00000079043,24,10
ENSMUSG00000079056,24,16
ENSMUSG00000079057,7,0
ENSMUSG00000079065,88,103
ENSMUSG00000079083,3,10
ENSMUSG00000079084,65,57
ENSMUSG00000079104,94,65
ENSMUSG00000079108,10,15
ENSMUSG00000079109,75,56
ENSMUSG00000079110,11,22
ENSMUSG00000079111,232,191
ENSMUSG00000079138,5,5
ENSMUSG00000079139,13,16
ENSMUSG00000079144,26,13
ENSMUSG00000079173,34,20
ENSMUSG00000079179,48,34
ENSMUSG00000079184,123,80
ENSMUSG00000079197,189,117
ENSMUSG00000079215,72,65
ENSMUSG00000079227,2,6
ENSMUSG00000079260,35,30
ENSMUSG00000079283,23,24
ENSMUSG00000079293,1,0
ENSMUSG00000079316,73,56
ENSMUSG00000079317,15,8
ENSMUSG00000079334,17,17
ENSMUSG00000079357,1,3
ENSMUSG00000079414,4,0
ENSMUSG00000079418,4,7
ENSMUSG00000079419,14,11
ENSMUSG00000079426,304,225
ENSMUSG00000079427,28,33
ENSMUSG00000079429,18,10
ENSMUSG00000079435,35,21
ENSMUSG00000079436,9,3
ENSMUSG00000079442,81,106
ENSMUSG00000079445,58,65
ENSMUSG00000079451,24,43
ENSMUSG00000079469,34,30
ENSMUSG00000079470,48,38
ENSMUSG00000079477,186,130
ENSMUSG00000079478,64,56
ENSMUSG00000079480,5,1
ENSMUSG00000079481,53,40
ENSMUSG00000079487,166,155
ENSMUSG00000079491,13,14
ENSMUSG00000079499,49,50
ENSMUSG00000079505,2,5
ENSMUSG00000079508,8,4
ENSMUSG00000079509,122,91
ENSMUSG00000079523,8,15
ENSMUSG00000079547,5,11
ENSMUSG00000079553,10,25
ENSMUSG00000079555,149,135
ENSMUSG00000079557,46,57
ENSMUSG00000079560,15,8
ENSMUSG00000079562,244,132
ENSMUSG00000079563,0,0
ENSMUSG00000079610,19,14
ENSMUSG00000079614,166,175
ENSMUSG00000079641,375,305
ENSMUSG00000079644,1,3
ENSMUSG00000079652,2,2
ENSMUSG00000079657,0,0
ENSMUSG00000079658,166,127
ENSMUSG00000079659,50,45
ENSMUSG00000079685,54,55
ENSMUSG00000079737,10,14
ENSMUSG00000079834,59,40
ENSMUSG00000079853,0,11
ENSMUSG00000079884,4,1
ENSMUSG00000080021,4,2
ENSMUSG00000080268,71,65
ENSMUSG00000080717,30,16
ENSMUSG00000080727,28,20
ENSMUSG00000080731,17,6
ENSMUSG00000080776,14,4
ENSMUSG00000080797,6,2
ENSMUSG00000080866,5,3
ENSMUSG00000080877,2,5
ENSMUSG00000080957,0,0
ENSMUSG00000080972,4,0
ENSMUSG00000081029,1,1
ENSMUSG00000081049,6,2
ENSMUSG00000081051,8,16
ENSMUSG00000081077,5,9
ENSMUSG00000081137,1,3
ENSMUSG00000081145,3,0
ENSMUSG00000081208,1,3
ENSMUSG00000081217,11,3
ENSMUSG00000081236,2,1
ENSMUSG00000081272,11,5
ENSMUSG00000081306,15,6
ENSMUSG00000081400,62,56
ENSMUSG00000081406,2,3
ENSMUSG00000081453,1,1
ENSMUSG00000081480,2,5
ENSMUSG00000081488,1,1
ENSMUSG00000081534,133,99
ENSMUSG00000081541,4,0
ENSMUSG00000081552,6,2
ENSMUSG00000081603,5,3
ENSMUSG00000081619,4,3
ENSMUSG00000081678,0,0
ENSMUSG00000081732,9,0
ENSMUSG00000081769,5,4
ENSMUSG00000081783,6,0
ENSMUSG00000081817,22,11
ENSMUSG00000081894,4,3
ENSMUSG00000081895,5,4
ENSMUSG00000081929,3,1
ENSMUSG00000081944,2,1
ENSMUSG00000081974,10,14
ENSMUSG00000081999,12,8
ENSMUSG00000082057,11,7
ENSMUSG00000082101,0,0
ENSMUSG00000082148,0,1
ENSMUSG00000082163,4,8
ENSMUSG00000082186,4,5
ENSMUSG00000082286,3,6
ENSMUSG00000082315,3,0
ENSMUSG00000082319,3,1
ENSMUSG00000082345,3,5
ENSMUSG00000082367,4,3
ENSMUSG00000082420,4,0
ENSMUSG00000082431,1,1
ENSMUSG00000082436,1,1
ENSMUSG00000082454,9,7
ENSMUSG00000082455,4,3
ENSMUSG00000082513,5,7
ENSMUSG00000082536,9,11
ENSMUSG00000082662,5,2
ENSMUSG00000082675,0,0
ENSMUSG00000082677,3,2
ENSMUSG00000082691,1,2
ENSMUSG00000082809,2,0
ENSMUSG00000082860,0,0
ENSMUSG00000082861,1,3
ENSMUSG00000082895,26,8
ENSMUSG00000082917,3,3
ENSMUSG00000082926,1,7
ENSMUSG00000082931,1,0
ENSMUSG00000082935,1,1
ENSMUSG00000083012,18,18
ENSMUSG00000083087,5,7
ENSMUSG00000083107,3,2
ENSMUSG00000083161,66,32
ENSMUSG00000083183,6,4
ENSMUSG00000083186,1,1
ENSMUSG00000083207,3,11
ENSMUSG00000083210,3,2
ENSMUSG00000083277,2,1
ENSMUSG00000083282,0,0
ENSMUSG00000083306,0,3
ENSMUSG00000083320,2,1
ENSMUSG00000083327,6,2
ENSMUSG00000083362,31,23
ENSMUSG00000083483,17,5
ENSMUSG00000083563,3,8
ENSMUSG00000083678,2,3
ENSMUSG00000083710,2,0
ENSMUSG00000083728,9,4
ENSMUSG00000083745,3,0
ENSMUSG00000083774,1,2
ENSMUSG00000083796,5,5
ENSMUSG00000083822,1,2
ENSMUSG00000083844,25,29
ENSMUSG00000083892,4,1
ENSMUSG00000083899,16,6
ENSMUSG00000083907,5,3
ENSMUSG00000083910,18,8
ENSMUSG00000083989,4,6
ENSMUSG00000083992,14,14
ENSMUSG00000083995,1,1
ENSMUSG00000084104,3,0
ENSMUSG00000084106,8,6
ENSMUSG00000084113,1,2
ENSMUSG00000084159,9,1
ENSMUSG00000084195,9,5
ENSMUSG00000084274,5,5
ENSMUSG00000084289,2,0
ENSMUSG00000084319,3,7
ENSMUSG00000084325,3,5
ENSMUSG00000084349,46,18
ENSMUSG00000084350,1,2
ENSMUSG00000084359,2,7
ENSMUSG00000084399,25,6
ENSMUSG00000084408,2,5
ENSMUSG00000084411,1,0
ENSMUSG00000084416,8,8
ENSMUSG00000084519,1,1
ENSMUSG00000084625,3,4
ENSMUSG00000084686,1,1
ENSMUSG00000084756,10,6
ENSMUSG00000084786,179,141
ENSMUSG00000084790,2,0
ENSMUSG00000084792,15,11
ENSMUSG00000084796,5,6
ENSMUSG00000084799,43,54
ENSMUSG00000084808,13,3
ENSMUSG00000084821,2,0
ENSMUSG00000084830,3,2
ENSMUSG00000084834,5,8
ENSMUSG00000084846,4,7
ENSMUSG00000084860,2,0
ENSMUSG00000084866,6,1
ENSMUSG00000084883,9,5
ENSMUSG00000084908,0,0
ENSMUSG00000084911,6,3
ENSMUSG00000084917,1,7
ENSMUSG00000084941,7,4
ENSMUSG00000084950,7,2
ENSMUSG00000084956,32,58
ENSMUSG00000084957,48,30
ENSMUSG00000084968,5,2
ENSMUSG00000084998,0,1
ENSMUSG00000085016,1,4
ENSMUSG00000085024,15,7
ENSMUSG00000085028,1,3
ENSMUSG00000085037,0,6
ENSMUSG00000085039,4,2
ENSMUSG00000085054,5,8
ENSMUSG00000085089,3,3
ENSMUSG00000085105,4,11
ENSMUSG00000085110,1,0
ENSMUSG00000085118,3,2
ENSMUSG00000085133,3,3
ENSMUSG00000085148,8,3
ENSMUSG00000085156,74,43
ENSMUSG00000085169,4,3
ENSMUSG00000085175,17,7
ENSMUSG00000085180,3,2
ENSMUSG00000085192,3,2
ENSMUSG00000085201,2,6
ENSMUSG00000085205,5,3
ENSMUSG00000085208,61,76
ENSMUSG00000085213,3,2
ENSMUSG00000085227,8,12
ENSMUSG00000085234,1,1
ENSMUSG00000085245,6,2
ENSMUSG00000085246,4,11
ENSMUSG00000085260,2,1
ENSMUSG00000085264,5,9
ENSMUSG00000085269,1,3
ENSMUSG00000085274,7,2
ENSMUSG00000085279,5,0
ENSMUSG00000085287,1,0
ENSMUSG00000085289,0,2
ENSMUSG00000085327,12,4
ENSMUSG00000085334,13,1
ENSMUSG00000085337,0,5
ENSMUSG00000085347,2,2
ENSMUSG00000085355,8,12
ENSMUSG00000085361,6,3
ENSMUSG00000085385,63,24
ENSMUSG00000085396,60,34
ENSMUSG00000085399,12,3
ENSMUSG00000085433,15,11
ENSMUSG00000085436,10,5
ENSMUSG00000085438,307,285
ENSMUSG00000085492,20,15
ENSMUSG00000085499,4,2
ENSMUSG00000085525,1,2
ENSMUSG00000085531,31,30
ENSMUSG00000085538,2,4
ENSMUSG00000085558,5,2
ENSMUSG00000085566,15,11
ENSMUSG00000085568,5,1
ENSMUSG00000085603,18,14
ENSMUSG00000085614,5,7
ENSMUSG00000085622,10,7
ENSMUSG00000085628,2,1
ENSMUSG00000085636,5,10
ENSMUSG00000085655,0,1
ENSMUSG00000085663,1,1
ENSMUSG00000085664,5,3
ENSMUSG00000085667,5,3
ENSMUSG00000085687,5,13
ENSMUSG00000085696,9,2
ENSMUSG00000085704,3,3
ENSMUSG00000085741,4,0
ENSMUSG00000085743,6,7
ENSMUSG00000085749,2,1
ENSMUSG00000085762,0,1
ENSMUSG00000085765,8,3
ENSMUSG00000085783,7,0
ENSMUSG00000085784,37,24
ENSMUSG00000085787,4,1
ENSMUSG00000085793,15,12
ENSMUSG00000085795,151,150
ENSMUSG00000085819,0,2
ENSMUSG00000085823,26,10
ENSMUSG00000085847,4,0
ENSMUSG00000085873,0,5
ENSMUSG00000085882,45,16
ENSMUSG00000085884,1,0
ENSMUSG00000085887,15,4
ENSMUSG00000085890,1,1
ENSMUSG00000085894,0,0
ENSMUSG00000085897,0,1
ENSMUSG00000085912,8,9
ENSMUSG00000085913,5,0
ENSMUSG00000085936,29,19
ENSMUSG00000085939,10,3
ENSMUSG00000085995,9,10
ENSMUSG00000086004,0,9
ENSMUSG00000086013,0,11
ENSMUSG00000086015,3,8
ENSMUSG00000086123,1,0
ENSMUSG00000086158,11,9
ENSMUSG00000086181,17,14
ENSMUSG00000086199,3,1
ENSMUSG00000086213,2,2
ENSMUSG00000086220,4,1
ENSMUSG00000086236,0,2
ENSMUSG00000086247,4,6
ENSMUSG00000086287,1,5
ENSMUSG00000086290,17,15
ENSMUSG00000086312,0,0
ENSMUSG00000086316,17,26
ENSMUSG00000086324,1712,1573
ENSMUSG00000086350,4,9
ENSMUSG00000086358,10,3
ENSMUSG00000086370,34,23
ENSMUSG00000086429,19,17
ENSMUSG00000086470,0,1
ENSMUSG00000086484,5,2
ENSMUSG00000086502,19,16
ENSMUSG00000086503,4025,2927
ENSMUSG00000086533,20,8
ENSMUSG00000086554,2,1
ENSMUSG00000086583,8,9
ENSMUSG00000086598,0,0
ENSMUSG00000086600,4,0
ENSMUSG00000086606,1,2
ENSMUSG00000086629,11,11
ENSMUSG00000086657,5,3
ENSMUSG00000086665,4,1
ENSMUSG00000086682,3,4
ENSMUSG00000086725,0,4
ENSMUSG00000086728,1,1
ENSMUSG00000086740,2,1
ENSMUSG00000086742,0,0
ENSMUSG00000086753,2,1
ENSMUSG00000086774,1,4
ENSMUSG00000086779,1,3
ENSMUSG00000086784,7,4
ENSMUSG00000086826,5,1
ENSMUSG00000086841,118,84
ENSMUSG00000086843,11,1
ENSMUSG00000086859,34,46
ENSMUSG00000086876,18,5
ENSMUSG00000086877,3,8
ENSMUSG00000086893,5,9
ENSMUSG00000086922,2,3
ENSMUSG00000086938,6,7
ENSMUSG00000086942,1,5
ENSMUSG00000086944,1,3
ENSMUSG00000086962,1,1
ENSMUSG00000086965,14,4
ENSMUSG00000087060,17,9
ENSMUSG00000087064,5,0
ENSMUSG00000087066,8,8
ENSMUSG00000087082,5,10
ENSMUSG00000087107,211,162
ENSMUSG00000087113,1,0
ENSMUSG00000087129,7,9
ENSMUSG00000087138,4,5
ENSMUSG00000087141,5,6
ENSMUSG00000087142,16,13
ENSMUSG00000087165,1,3
ENSMUSG00000087174,70,28
ENSMUSG00000087177,27,16
ENSMUSG00000087178,5,3
ENSMUSG00000087201,7,16
ENSMUSG00000087213,12,11
ENSMUSG00000087221,2,1
ENSMUSG00000087228,3,2
ENSMUSG00000087231,2,3
ENSMUSG00000087242,9,5
ENSMUSG00000087249,3,1
ENSMUSG00000087259,21,11
ENSMUSG00000087260,70,51
ENSMUSG00000087266,19,10
ENSMUSG00000087269,3,4
ENSMUSG00000087289,8,0
ENSMUSG00000087291,5,0
ENSMUSG00000087300,4,7
ENSMUSG00000087312,0,0
ENSMUSG00000087356,0,3
ENSMUSG00000087364,1,0
ENSMUSG00000087368,2,6
ENSMUSG00000087370,127,96
ENSMUSG00000087373,0,0
ENSMUSG00000087385,3,4
ENSMUSG00000087396,9,18
ENSMUSG00000087403,27,27
ENSMUSG00000087412,4,2
ENSMUSG00000087424,10,3
ENSMUSG00000087440,11,2
ENSMUSG00000087452,17,16
ENSMUSG00000087489,0,4
ENSMUSG00000087492,8,3
ENSMUSG00000087497,25,7
ENSMUSG00000087502,3,0
ENSMUSG00000087507,2,2
ENSMUSG00000087528,4,4
ENSMUSG00000087538,5,9
ENSMUSG00000087543,11,9
ENSMUSG00000087547,3,0
ENSMUSG00000087556,2,2
ENSMUSG00000087574,6,5
ENSMUSG00000087578,2,3
ENSMUSG00000087590,21,26
ENSMUSG00000087606,2,2
ENSMUSG00000087679,219,155
ENSMUSG00000087687,36,27
ENSMUSG00000088141,4,2
ENSMUSG00000088176,2,0
ENSMUSG00000088595,52,64
ENSMUSG00000089103,0,1
ENSMUSG00000089542,3,0
ENSMUSG00000089657,0,1
ENSMUSG00000089663,0,1
ENSMUSG00000089669,4,0
ENSMUSG00000089679,2,7
ENSMUSG00000089682,29,8
ENSMUSG00000089706,3,12
ENSMUSG00000089709,2,1
ENSMUSG00000089715,62,26
ENSMUSG00000089718,4,1
ENSMUSG00000089726,54,36
ENSMUSG00000089736,0,1
ENSMUSG00000089762,9,9
ENSMUSG00000089764,13,7
ENSMUSG00000089774,44,46
ENSMUSG00000089782,6,4
ENSMUSG00000089796,0,0
ENSMUSG00000089802,0,0
ENSMUSG00000089809,9,3
ENSMUSG00000089810,13,12
ENSMUSG00000089824,55,23
ENSMUSG00000089827,2,1
ENSMUSG00000089832,48,41
ENSMUSG00000089847,34,36
ENSMUSG00000089849,5,5
ENSMUSG00000089857,6,5
ENSMUSG00000089861,3,1
ENSMUSG00000089862,16,23
ENSMUSG00000089872,6,3
ENSMUSG00000089875,9,2
ENSMUSG00000089883,0,2
ENSMUSG00000089886,2,0
ENSMUSG00000089889,1,5
ENSMUSG00000089901,9,0
ENSMUSG00000089911,122,114
ENSMUSG00000089917,74,66
ENSMUSG00000089940,36,21
ENSMUSG00000089943,3,4
ENSMUSG00000089993,4,6
ENSMUSG00000089998,4,3
ENSMUSG00000090000,85,84
ENSMUSG00000090015,15,27
ENSMUSG00000090019,68,31
ENSMUSG00000090030,1,3
ENSMUSG00000090031,5,7
ENSMUSG00000090035,31,23
ENSMUSG00000090043,0,5
ENSMUSG00000090083,23,10
ENSMUSG00000090086,9,0
ENSMUSG00000090100,19,16
ENSMUSG00000090110,14,12
ENSMUSG00000090112,116,62
ENSMUSG00000090115,5,13
ENSMUSG00000090124,68,67
ENSMUSG00000090137,42,40
ENSMUSG00000090145,0,4
ENSMUSG00000090150,33,29
ENSMUSG00000090164,257,222
ENSMUSG00000090168,4,4
ENSMUSG00000090173,3,0
ENSMUSG00000090174,3,0
ENSMUSG00000090176,0,0
ENSMUSG00000090191,6,5
ENSMUSG00000090207,1,0
ENSMUSG00000090213,40,32
ENSMUSG00000090214,24,22
ENSMUSG00000090247,8,4
ENSMUSG00000090258,38,18
ENSMUSG00000090266,49,35
ENSMUSG00000090272,295,204
ENSMUSG00000090290,98,75
ENSMUSG00000090387,1,5
ENSMUSG00000090394,52,52
ENSMUSG00000090397,1,2
ENSMUSG00000090406,1,2
ENSMUSG00000090516,4,4
ENSMUSG00000090523,92,108
ENSMUSG00000090553,167,130
ENSMUSG00000090559,8,11
ENSMUSG00000090564,2,3
ENSMUSG00000090565,2,10
ENSMUSG00000090622,4,9
ENSMUSG00000090626,62,49
ENSMUSG00000090628,6,23
ENSMUSG00000090641,12,5
ENSMUSG00000090659,3,0
ENSMUSG00000090673,51,47
ENSMUSG00000090698,4,0
ENSMUSG00000090733,11,3
ENSMUSG00000090778,2,2
ENSMUSG00000090841,175,118
ENSMUSG00000090862,26,25
ENSMUSG00000090877,13,11
ENSMUSG00000090935,41,37
ENSMUSG00000090946,30,31
ENSMUSG00000090952,19,13
ENSMUSG00000090963,10,11
ENSMUSG00000091002,1,8
ENSMUSG00000091021,8,7
ENSMUSG00000091050,3,0
ENSMUSG00000091133,1,0
ENSMUSG00000091183,23,19
ENSMUSG00000091264,25,27
ENSMUSG00000091337,195,175
ENSMUSG00000091387,24,31
ENSMUSG00000091405,9,13
ENSMUSG00000091426,2,0
ENSMUSG00000091438,5,6
ENSMUSG00000091449,58,31
ENSMUSG00000091474,51,47
ENSMUSG00000091478,9,7
ENSMUSG00000091498,7,8
ENSMUSG00000091509,6,10
ENSMUSG00000091512,58,48
ENSMUSG00000091523,2,2
ENSMUSG00000091537,45,34
ENSMUSG00000091549,22,22
ENSMUSG00000091558,4,5
ENSMUSG00000091575,3,9
ENSMUSG00000091625,2,6
ENSMUSG00000091730,2,8
ENSMUSG00000091803,18,18
ENSMUSG00000091811,7,24
ENSMUSG00000091831,10,0
ENSMUSG00000091896,49,45
ENSMUSG00000091931,26,14
ENSMUSG00000091952,2,1
ENSMUSG00000091985,1,2
ENSMUSG00000091993,13,8
ENSMUSG00000091994,5,1
ENSMUSG00000092035,3,14
ENSMUSG00000092051,6,7
ENSMUSG00000092060,150,112
ENSMUSG00000092074,13,7
ENSMUSG00000092118,44,26
ENSMUSG00000092134,5,0
ENSMUSG00000092183,15,8
ENSMUSG00000092203,112,79
ENSMUSG00000092260,3,12
ENSMUSG00000092274,197,153
ENSMUSG00000092305,3,4
ENSMUSG00000092341,1506,940
ENSMUSG00000092399,0,3
ENSMUSG00000092416,41,27
ENSMUSG00000092417,29,8
ENSMUSG00000092486,61,51
ENSMUSG00000092494,2,0
ENSMUSG00000092558,80,60
ENSMUSG00000092572,5,3
ENSMUSG00000092607,66,37
ENSMUSG00000092626,3,1
ENSMUSG00000092627,9,8
ENSMUSG00000092837,0,4
ENSMUSG00000092998,0,0
